ID,AgeGroup,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive_Fraction,SS_Fraction,Alcohol,Caffeine,Cannabis,Cocaine
436,25 - 34,Female,University degree,UK,White,36,43,38,47,53,16.29,11.19,Used,Used, Never Used, Never Used
437,55 - 64,Male,Some college or university,USA,White,29,38,53,54,47,14.64,7,Used,Used,Used,Used
438,45 - 54,Male,Left school at 16 years,UK,White,23,43,48,37,45,11.46,13.21,Used,Used,Used,Used
439,25 - 34,Female,University degree,USA,White,59,37,40,31,26,10.34,11.62,Used,Used,Used,Used
440,18 - 24,Female,Some college or university,USA,White,49,38,48,42,28,13.63,11.83,Used,Used,Used, Never Used
441,35 - 44,Female,University degree,UK,White,31,43,42,48,53,18.83,11.19,Used,Used,Used,Used
442,18 - 24,Female,Some college or university,UK,White,29,49,31,43,46,11.46,11.62,Used,Used,Used, Never Used
443,25 - 34,Female,Masters degree,UK,White,27,40,48,42,42,13.63,11.62,Used,Used,Used,Used
444,35 - 44,Male,Left school at 16 years,UK,White,40,44,41,38,40,18.83,11.83,Used,Used,Used, Never Used
445,45 - 54,Female,Professional certificate/ diploma,UK,White,31,45,50,44,47,1.06,8.97,Used,Used, Never Used, Never Used
446,45 - 54,Female,University degree,UK,White,46,33,42,37,45,18.83,4.62,Used,Used, Never Used, Never Used
447,25 - 34,Female,University degree,UK,White,38,32,49,58,37,16.29,13.21,Used,Used,Used,Used
448,25 - 34,Male,Masters degree,UK,White,36,39,40,38,33,7.85,11.62,Used,Used,Used,Used
449,18 - 24,Female,Some college or university,UK,White,47,49,53,31,35,7.85,11.14,Used,Used,Used, Never Used
450,18 - 24,Male,University degree,UK,White,32,44,49,41,47,18.83,11.62,Used,Used,Used,Used
451,18 - 24,Female,University degree,UK,White,43,39,40,47,34,11.46,11.62,Used,Used,Used,Used
452,18 - 24,Female,Masters degree,UK,White,25,45,40,42,47,13.63,11.19,Used,Used,Used, Never Used
453,35 - 44,Female,University degree,UK,White,34,39,47,44,48,14.64,11.62,Used,Used,Used,Used
454,25 - 34,Male,University degree,UK,White,48,27,44,44,45,14.64,11.83,Used,Used,Used, Never Used
455,45 - 54,Male,Doctorate degree,UK,White,34,36,52,38,40,5.52,11.19,Used,Used,Used,Used
456,18 - 24,Female,University degree,UK,White,44,34,51,38,22,10.34,11.83,Used,Used,Used, Never Used
457,35 - 44,Male,University degree,UK,White,51,37,48,28,37,10.34,13.21,Used,Used,Used,Used
458,35 - 44,Female,Masters degree,UK,White,31,36,47,47,47,14.64,3.77,Used,Used,Used, Never Used
459,18 - 24,Female,University degree,UK,White,42,40,47,47,43,18.83,11.62,Used,Used,Used,Used
460,25 - 34,Male,Masters degree,UK,White,45,48,57,26,39,11.46,11.62,Used,Used,Used,Used
461,18 - 24,Female,University degree,UK,White,48,30,54,31,44,10.34,11.62,Used,Used,Used,Used
462,18 - 24,Male,Some college or university,UK,White,50,30,28,54,32,11.46,7,Used,Used,Used, Never Used
463,35 - 44,Male,Some college or university,UK,White,44,43,55,44,24,7.85,11.14,Used,Used,Used,Used
464,45 - 54,Male,Left school at 18 years,UK,White,46,33,42,52,32,18.83,13.21,Used,Used,Used,Used
465,18 - 24,Female,University degree,UK,White,39,34,53,48,48,13.63,11.83,Used,Used,Used, Never Used
466,18 - 24,Female,Masters degree,UK,White,49,32,46,40,39,7.85,11.19,Used,Used,Used, Never Used
467,18 - 24,Female,University degree,UK,Asian,39,44,53,50,40,16.29,11.19, Never Used,Used,Used, Never Used
468,45 - 54,Male,University degree,UK,White,38,40,54,43,51,18.83,11.83,Used,Used,Used,Used
469,35 - 44,Male,University degree,UK,White,35,41,41,41,43,14.64,7,Used,Used, Never Used, Never Used
470,25 - 34,Male,University degree,UK,White,25,51,55,48,42,10.34,11.14,Used,Used,Used,Used
471,45 - 54,Female,Left school at 16 years,USA,White,59,28,36,53,26,18.83,11.62,Used,Used,Used,Used
472,18 - 24,Female,University degree,UK,White,37,45,48,42,47,16.29,8.97,Used,Used, Never Used, Never Used
473,18 - 24,Male,Masters degree,UK,Mixed-White/Black,27,55,53,50,55,18.83,13.21,Used,Used,Used,Used
474,18 - 24,Female,Left school before 16 years,UK,White,39,40,45,51,42,13.63,11.83,Used,Used,Used,Used
475,35 - 44,Female,Some college or university,USA,White,49,40,43,38,38,10.34,11.83,Used,Used,Used,Used
476,55 - 64,Female,University degree,UK,Mixed-White/Asian,33,46,47,42,45,14.64,3.77,Used,Used, Never Used, Never Used
477,45 - 54,Female,University degree,USA,White,25,46,43,48,48,16.29,8.97,Used,Used,Used,Used
478,35 - 44,Male,University degree,UK,White,52,33,50,31,39,13.63,8.97,Used,Used,Used, Never Used
479,35 - 44,Female,Professional certificate/ diploma,UK,White,50,35,41,35,32,7.85,11.19,Used,Used,Used,Used
480,25 - 34,Female,University degree,UK,White,40,45,44,49,46,18.83,11.62,Used,Used,Used, Never Used
481,25 - 34,Female,Masters degree,Australia,White,40,37,55,52,44,13.63,13.21,Used,Used,Used, Never Used
482,18 - 24,Male,Some college or university,USA,White,47,34,45,34,37,14.64,8.97,Used,Used,Used,Used
483,35 - 44,Female,University degree,Australia,White,46,41,48,42,46,13.63,13.21,Used,Used,Used,Used
484,35 - 44,Male,Some college or university,UK,White,29,39,48,44,52,16.29,11.83, Never Used,Used,Used,Used
485,25 - 34,Female,University degree,UK,White,48,43,55,45,48,13.63,8.97,Used,Used,Used, Never Used
486,35 - 44,Female,Left school at 16 years,UK,White,30,46,42,48,40,14.64,7,Used,Used,Used,Used
487,45 - 54,Female,Left school at 16 years,UK,White,31,42,35,50,36,14.64,8.97,Used,Used,Used, Never Used
488,25 - 34,Male,Left school at 18 years,Other,White,50,28,53,38,31,16.29,7,Used,Used,Used, Never Used
489,35 - 44,Female,Left school at 18 years,USA,White,53,27,54,36,44,13.63,11.19,Used,Used,Used,Used
490,25 - 34,Male,Left school at 16 years,UK,White,40,30,47,48,39,18.83,11.14,Used,Used,Used,Used
491,18 - 24,Male,Left school before 16 years,UK,White,54,30,48,30,29,18.83,11.62,Used, Never Used,Used, Never Used
492,18 - 24,Male,Some college or university,UK,White,26,47,52,34,31,16.29,11.14,Used,Used,Used,Used
493,45 - 54,Female,Professional certificate/ diploma,UK,White,42,45,49,41,36,7.85,5.46,Used,Used,Used,Used
494,18 - 24,Male,Left school at 18 years,UK,White,27,43,49,47,42,13.63,13.21,Used,Used,Used,Used
495,18 - 24,Male,Professional certificate/ diploma,UK,White,41,36,52,43,44,10.34,11.19,Used,Used,Used, Never Used
496,18 - 24,Male,Some college or university,UK,White,43,28,52,35,29,14.64,11.19,Used,Used,Used, Never Used
497,18 - 24,Male,Professional certificate/ diploma,Other,Other,25,37,49,47,43,14.64,11.83,Used,Used,Used, Never Used
498,55 - 64,Male,Some college or university,USA,White,28,41,50,47,48,14.64,11.19,Used,Used,Used,Used
499,25 - 34,Male,Masters degree,UK,White,36,48,60,39,42,16.29,11.62,Used,Used,Used,Used
500,25 - 34,Male,Left school at 16 years,Other,White,35,36,52,46,36,18.83,11.62,Used,Used,Used,Used
501,55 - 64,Female,Some college or university,UK,White,49,35,55,42,27,10.34,11.14,Used,Used,Used,Used
502,35 - 44,Female,Professional certificate/ diploma,Ireland,White,36,43,40,38,49,11.46,11.19,Used,Used,Used,Used
503,25 - 34,Female,Professional certificate/ diploma,UK,White,30,39,36,43,39,10.34,3.77,Used,Used,Used, Never Used
504,18 - 24,Male,Some college or university,USA,White,22,44,44,39,40,11.46,11.19,Used,Used,Used, Never Used
505,55 - 64,Female,Professional certificate/ diploma,Canada ,White,36,38,44,38,46,7.85,11.19,Used,Used,Used,Used
506,35 - 44,Male,Left school at 16 years,UK,White,35,40,44,43,45,14.64,7,Used,Used,Used, Never Used
507,45 - 54,Male,Professional certificate/ diploma,Other,White,40,43,48,36,33,10.34,11.62,Used,Used,Used,Used
508,35 - 44,Male,University degree,UK,White,31,44,52,38,46,13.63,11.62,Used,Used,Used,Used
509,25 - 34,Male,University degree,UK,White,37,38,39,34,42,13.63,11.19,Used,Used,Used,Used
510,35 - 44,Male,Left school at 16 years,UK,White,50,32,38,31,36,16.29,11.62,Used,Used,Used,Used
511,35 - 44,Female,Masters degree,Other,White,26,47,44,45,43,14.64,11.19,Used,Used, Never Used, Never Used
512,35 - 44,Male,University degree,UK,White,36,46,42,41,39,11.46,11.83,Used,Used,Used,Used
513,45 - 54,Female,Masters degree,UK,White,40,43,45,42,44,18.83,7,Used,Used,Used,Used
514,18 - 24,Male,Some college or university,UK,White,40,43,50,44,34,5.52,13.21,Used,Used,Used,Used
515,55 - 64,Male,Left school at 16 years,USA,White,34,38,45,48,45,18.83,11.83,Used,Used,Used,Used
516,35 - 44,Male,Left school at 16 years,UK,White,45,38,35,40,40,18.83,11.83,Used,Used, Never Used, Never Used
517,18 - 24,Female,Left school at 17 years,USA,White,23,52,49,44,44,10.34,5.46,Used,Used,Used, Never Used
518,35 - 44,Female,Left school at 16 years,UK,White,34,41,41,32,44,18.83,11.19,Used,Used,Used,Used
519,25 - 34,Female,Masters degree,UK,White,39,39,48,40,48,16.29,11.83,Used,Used,Used, Never Used
520,25 - 34,Male,Professional certificate/ diploma,Other,White,41,36,47,42,36,11.46,11.14,Used,Used,Used,Used
521,25 - 34,Male,Masters degree,UK,White,34,42,37,50,53,11.46,11.14,Used,Used,Used,Used
522,35 - 44,Female,University degree,UK,White,38,38,39,38,48,14.64,3.77,Used,Used,Used, Never Used
523,45 - 54,Female,Left school at 16 years,Australia,White,42,38,40,40,43,16.29,7,Used,Used,Used, Never Used
524,18 - 24,Male,Some college or university,USA,White,36,42,46,34,41,11.46,11.62,Used,Used,Used, Never Used
525,18 - 24,Male,Some college or university,UK,White,33,43,45,38,32,13.63,11.62,Used,Used,Used, Never Used
526,35 - 44,Female,Left school before 16 years,UK,White,37,34,33,44,45,14.64,3.77,Used,Used,Used,Used
527,45 - 54,Female,University degree,Australia,White,29,44,53,55,56,13.63,11.62,Used, Never Used,Used,Used
528,55 - 64,Male,Left school at 18 years,UK,White,20,43,38,43,45,16.29,11.19,Used,Used, Never Used, Never Used
529,18 - 24,Male,Professional certificate/ diploma,UK,White,45,30,44,30,31,10.34,11.62,Used,Used,Used,Used
530,35 - 44,Male,Doctorate degree,UK,White,42,39,45,47,29,11.46,11.83,Used,Used,Used, Never Used
531,25 - 34,Female,Professional certificate/ diploma,UK,White,43,47,46,43,42,18.83,11.14,Used,Used,Used,Used
532,55 - 64,Male,University degree,UK,White,45,40,50,30,46,18.83,7,Used,Used,Used, Never Used
533,45 - 54,Male,University degree,UK,White,46,29,41,45,35,18.83,11.19,Used,Used,Used,Used
534,18 - 24,Female,University degree,UK,White,33,41,41,53,49,13.63,7,Used,Used, Never Used, Never Used
535,25 - 34,Male,Masters degree,UK,White,32,39,41,32,37,11.46,11.62,Used,Used, Never Used, Never Used
536,35 - 44,Female,Masters degree,UK,White,20,54,43,52,51,13.63,7,Used,Used, Never Used, Never Used
537,25 - 34,Female,University degree,USA,White,45,40,52,29,38,13.63,11.83,Used,Used,Used,Used
538,18 - 24,Female,University degree,UK,White,49,45,39,49,37,11.46,11.62,Used,Used,Used,Used
539,45 - 54,Female,Some college or university,UK,Asian,43,38,37,48,35,14.64,4.62, Never Used,Used, Never Used, Never Used
540,35 - 44,Female,University degree,UK,White,47,38,46,47,46,13.63,13.21,Used,Used, Never Used, Never Used
541,45 - 54,Male,Masters degree,UK,White,24,48,45,47,53,1.06,7,Used,Used, Never Used, Never Used
542,45 - 54,Female,University degree,UK,White,26,42,45,37,43,14.64,4.62,Used,Used,Used, Never Used
543,45 - 54,Female,University degree,Other,Black,38,45,46,48,45,13.63,11.62,Used,Used, Never Used, Never Used
544,35 - 44,Male,Left school at 17 years,UK,White,43,45,52,35,34,13.63,11.14,Used,Used,Used,Used
545,25 - 34,Female,University degree,UK,White,44,44,39,38,44,18.83,11.83,Used,Used, Never Used,Used
546,18 - 24,Female,Left school at 16 years,UK,White,48,36,41,38,34,7.85,11.83,Used,Used,Used, Never Used
547,35 - 44,Female,Professional certificate/ diploma,UK,White,51,41,43,47,36,16.29,11.83,Used,Used, Never Used, Never Used
548,45 - 54,Female,Some college or university,USA,White,27,37,52,59,42,14.64,7,Used,Used,Used,Used
549,25 - 34,Female,Masters degree,UK,White,20,35,39,40,54,14.64,8.97,Used,Used, Never Used, Never Used
550,18 - 24,Male,University degree,UK,White,48,37,47,44,28,11.46,7,Used,Used, Never Used, Never Used
551,25 - 34,Female,Masters degree,Other,White,25,47,47,39,41,18.83,8.97,Used,Used,Used, Never Used
552,18 - 24,Female,University degree,UK,White,34,37,36,48,50,14.64,11.19,Used,Used,Used, Never Used
553,35 - 44,Female,Masters degree,UK,White,28,48,47,36,49,18.83,11.14,Used,Used,Used,Used
554,18 - 24,Female,Masters degree,UK,White,52,29,45,48,44,18.83,7,Used,Used, Never Used, Never Used
555,25 - 34,Female,Masters degree,Other,Mixed-White/Black,46,26,43,43,45,16.29,3.77,Used,Used,Used, Never Used
556,25 - 34,Female,Doctorate degree,UK,White,42,43,43,43,50,11.46,11.62,Used,Used, Never Used, Never Used
557,45 - 54,Female,Masters degree,UK,White,38,33,38,43,48,16.29,7,Used,Used, Never Used, Never Used
558,18 - 24,Female,University degree,UK,White,34,38,48,42,44,14.64,11.19,Used,Used,Used, Never Used
559,25 - 34,Female,University degree,UK,White,21,46,45,52,50,16.29,11.83,Used,Used, Never Used, Never Used
560,18 - 24,Female,University degree,UK,White,31,39,42,49,41,7.85,11.14,Used,Used,Used,Used
561,45 - 54,Female,University degree,UK,White,28,40,49,45,49,13.63,11.19,Used,Used,Used,Used
562,18 - 24,Female,University degree,UK,White,46,41,41,45,45,16.29,11.19,Used,Used, Never Used, Never Used
563,35 - 44,Female,University degree,UK,White,42,44,49,36,47,18.83,11.83,Used,Used,Used,Used
564,35 - 44,Female,Masters degree,UK,Other,58,43,35,41,51,18.83,8.97,Used,Used,Used, Never Used
565,25 - 34,Female,Masters degree,UK,White,44,42,42,31,40,13.63,11.62,Used,Used,Used, Never Used
566,45 - 54,Female,Some college or university,UK,White,31,37,46,44,39,5.52,8.97,Used,Used,Used,Used
567,45 - 54,Female,Masters degree,UK,White,39,34,47,47,36,16.29,8.97,Used,Used, Never Used, Never Used
568,18 - 24,Female,University degree,UK,White,45,47,39,49,46,14.64,7,Used,Used,Used, Never Used
569,18 - 24,Male,University degree,UK,White,53,44,54,37,38,18.83,11.62,Used,Used,Used,Used
570,35 - 44,Male,Masters degree,UK,White,46,34,45,41,42,18.83,11.83,Used,Used,Used, Never Used
571,35 - 44,Female,Doctorate degree,UK,White,32,45,45,37,56,16.29,11.19,Used,Used,Used, Never Used
572,35 - 44,Female,Professional certificate/ diploma,Australia,White,38,47,38,31,39,11.46,11.19,Used,Used, Never Used, Never Used
573,18 - 24,Female,Masters degree,UK,White,21,52,45,50,53,13.63,11.19,Used,Used, Never Used, Never Used
574,35 - 44,Male,Professional certificate/ diploma,UK,White,48,31,34,36,37,5.52,11.62,Used,Used,Used,Used
575,55 - 64,Female,Some college or university,USA,White,27,46,49,39,39,11.46,11.83,Used,Used,Used, Never Used
576,35 - 44,Female,University degree,UK,White,55,29,33,47,28,16.29,4.62,Used,Used,Used,Used
577,35 - 44,Male,Left school at 16 years,UK,White,20,45,35,40,49,18.83,11.62,Used,Used, Never Used, Never Used
578,25 - 34,Female,Masters degree,UK,Other,44,42,47,47,48,16.29,11.19,Used,Used, Never Used, Never Used
579,25 - 34,Female,University degree,UK,White,46,45,41,51,41,16.29,11.83,Used,Used,Used, Never Used
580,45 - 54,Female,Masters degree,UK,White,46,39,48,50,51,14.64,4.62,Used,Used,Used, Never Used
581,18 - 24,Female,Masters degree,UK,White,34,45,50,44,47,18.83,11.83,Used,Used,Used, Never Used
582,35 - 44,Female,Some college or university,UK,White,25,40,38,43,27,5.52,11.83,Used,Used,Used,Used
583,18 - 24,Male,Some college or university,UK,White,27,50,49,41,37,10.34,11.19,Used,Used,Used, Never Used
584,35 - 44,Female,Professional certificate/ diploma,UK,White,39,48,56,41,48,11.46,11.62,Used,Used, Never Used, Never Used
585,18 - 24,Female,Some college or university,USA,White,42,40,42,46,39,18.83,11.14,Used,Used,Used, Never Used
586,25 - 34,Male,University degree,UK,White,33,41,44,35,47,7.85,13.21,Used,Used,Used, Never Used
587,18 - 24,Male,Professional certificate/ diploma,UK,White,43,36,54,36,40,11.46,13.21,Used,Used,Used, Never Used
588,18 - 24,Male,Some college or university,UK,White,39,42,44,48,28,13.63,11.19,Used,Used,Used, Never Used
589,25 - 34,Female,Left school at 16 years,UK,White,31,50,49,49,43,18.83,11.62,Used,Used,Used,Used
590,55 - 64,Female,Some college or university,USA,White,24,39,48,37,45,11.46,11.62,Used,Used,Used,Used
591,35 - 44,Male,Left school before 16 years,UK,White,30,40,42,39,46,18.83,13.21,Used,Used,Used,Used
592,35 - 44,Female,University degree,UK,White,40,37,44,32,52,18.83,8.97,Used,Used,Used, Never Used
593,35 - 44,Female,Professional certificate/ diploma,USA,White,14,46,47,46,54,16.29,11.83,Used,Used,Used,Used
594,25 - 34,Male,Professional certificate/ diploma,Other,Mixed-White/Black,35,46,46,47,46,13.63,11.19,Used,Used,Used,Used
595,35 - 44,Male,Left school at 16 years,UK,White,32,36,42,35,37,7.85,11.19,Used,Used,Used,Used
596,45 - 54,Male,Professional certificate/ diploma,Other,White,39,41,43,34,45,18.83,11.19,Used,Used,Used,Used
597,18 - 24,Male,Left school at 16 years,UK,White,23,45,51,49,48,11.46,11.14,Used,Used,Used,Used
598,55 - 64,Female,Professional certificate/ diploma,Canada ,White,32,37,44,38,46,10.34,11.14,Used,Used,Used,Used
599,45 - 54,Female,Professional certificate/ diploma,USA,White,36,41,42,46,44,18.83,11.19,Used,Used,Used,Used
600,18 - 24,Male,Some college or university,UK,White,41,39,48,43,35,11.46,13.21,Used,Used,Used, Never Used
601,45 - 54,Female,Masters degree,UK,White,43,36,42,54,43,16.29,7,Used,Used,Used,Used
602,18 - 24,Male,Some college or university,USA,White,46,47,51,44,34,5.52,11.14,Used,Used,Used,Used
603,18 - 24,Male,Some college or university,USA,White,41,28,38,29,46,11.46,11.14,Used,Used,Used, Never Used
604,18 - 24,Male,Some college or university,USA,White,54,33,51,39,34,11.46,11.19,Used,Used,Used, Never Used
605,25 - 34,Male,University degree,USA,White,29,34,43,33,43,16.29,11.83,Used,Used,Used,Used
606,35 - 44,Female,Some college or university,USA,White,40,42,48,49,45,16.29,11.19,Used,Used,Used,Used
607,55 - 64,Female,Masters degree,USA,White,15,47,57,51,34,16.29,11.19,Used,Used,Used,Used
608,18 - 24,Male,University degree,UK,White,31,40,38,52,36,18.83,11.14,Used,Used,Used, Never Used
609,45 - 54,Male,Some college or university,USA,White,35,40,52,55,41,16.29,11.62,Used,Used,Used,Used
610,25 - 34,Male,University degree,UK,White,21,48,54,44,49,11.46,5.46,Used,Used,Used,Used
611,55 - 64,Female,Professional certificate/ diploma,Canada ,White,48,34,36,50,30,5.52,11.83,Used,Used,Used,Used
612,25 - 34,Male,Some college or university,UK,White,27,46,52,44,37,13.63,5.46,Used,Used,Used,Used
613,25 - 34,Male,University degree,UK,White,29,42,42,51,46,11.46,11.14,Used,Used,Used, Never Used
614,35 - 44,Male,University degree,UK,White,25,41,45,41,39,18.83,11.19,Used,Used,Used,Used
615,25 - 34,Female,Masters degree,UK,White,54,38,44,32,37,13.63,11.62,Used,Used,Used,Used
616,25 - 34,Female,Left school before 16 years,USA,White,33,44,41,37,44,7.85,11.83,Used,Used,Used,Used
617,35 - 44,Female,Masters degree,UK,White,37,39,43,48,40,10.34,11.14,Used,Used,Used, Never Used
618,45 - 54,Female,Some college or university,USA,White,46,41,45,39,34,7.85,11.14,Used,Used,Used,Used
619,45 - 54,Male,Professional certificate/ diploma,Ireland,White,27,48,44,39,47,16.29,11.62,Used,Used,Used, Never Used
620,25 - 34,Female,University degree,UK,White,35,47,52,44,42,11.46,11.62,Used,Used,Used, Never Used
621,55 - 64,Male,Masters degree,UK,White,29,33,51,37,46,14.64,8.97,Used,Used, Never Used, Never Used
622,18 - 24,Male,Left school at 18 years,UK,White,41,30,43,52,28,7.85,13.21,Used,Used,Used, Never Used
623,35 - 44,Male,Masters degree,UK,White,27,44,45,34,44,10.34,13.21,Used,Used,Used, Never Used
624,35 - 44,Female,Masters degree,UK,White,34,43,44,45,52,16.29,4.62,Used,Used,Used, Never Used
625,45 - 54,Female,Masters degree,UK,White,32,40,43,41,31,5.52,11.19,Used,Used,Used, Never Used
626,35 - 44,Female,Doctorate degree,UK,White,36,40,37,43,44,14.64,11.83,Used,Used,Used, Never Used
627,35 - 44,Female,Professional certificate/ diploma,UK,White,32,36,42,37,44,16.29,4.62,Used,Used,Used,Used
628,35 - 44,Male,University degree,UK,White,35,37,40,40,45,18.83,11.83,Used,Used,Used, Never Used
629,35 - 44,Male,Doctorate degree,UK,White,21,33,35,54,46,1.06,8.97,Used,Used,Used,Used
630,25 - 34,Female,Doctorate degree,UK,White,48,32,37,53,44,14.64,4.62,Used,Used,Used,Used
631,45 - 54,Female,Doctorate degree,UK,Mixed-White/Black,31,43,50,45,41,18.83,3.77,Used,Used, Never Used, Never Used
632,35 - 44,Female,Doctorate degree,UK,White,41,38,56,45,49,14.64,3.77,Used,Used,Used,Used
633,18 - 24,Female,University degree,UK,White,40,39,44,56,49,14.64,11.19,Used,Used, Never Used, Never Used
634,18 - 24,Female,University degree,UK,White,48,37,37,37,47,14.64,3.77,Used,Used,Used, Never Used
635,25 - 34,Female,Masters degree,UK,White,29,51,49,44,44,16.29,11.62,Used,Used,Used,Used
636,35 - 44,Female,Doctorate degree,UK,White,48,41,46,36,37,18.83,11.14,Used,Used,Used,Used
637,35 - 44,Male,University degree,UK,White,28,38,45,50,38,16.29,11.62,Used,Used,Used,Used
638,45 - 54,Female,University degree,UK,White,29,42,43,46,42,13.63,11.83,Used,Used,Used, Never Used
639,35 - 44,Female,Professional certificate/ diploma,Canada ,White,32,41,39,48,45,14.64,7,Used,Used, Never Used, Never Used
640,18 - 24,Female,University degree,UK,White,33,36,36,42,52,16.29,11.62,Used,Used, Never Used, Never Used
641,25 - 34,Male,Left school at 16 years,UK,White,33,51,52,51,45,11.46,5.46,Used,Used,Used,Used
642,45 - 54,Male,University degree,UK,White,34,35,49,44,41,18.83,11.19,Used,Used,Used, Never Used
643,35 - 44,Male,Masters degree,UK,White,29,46,52,56,53,18.83,13.21,Used,Used,Used, Never Used
644,25 - 34,Female,Masters degree,UK,Black,26,44,44,51,50,16.29,13.21,Used,Used,Used, Never Used
645,25 - 34,Male,Some college or university,UK,White,38,38,34,47,37,18.83,11.62,Used,Used,Used,Used
646,45 - 54,Male,University degree,UK,White,36,38,44,38,39,7.85,11.19,Used,Used,Used, Never Used
647,18 - 24,Female,University degree,UK,White,31,39,44,42,47,18.83,11.19,Used,Used, Never Used, Never Used
648,18 - 24,Male,Some college or university,USA,White,23,49,53,32,48,16.29,13.21,Used,Used,Used,Used
649,35 - 44,Female,Masters degree,USA,White,47,41,53,55,34,7.85,5.46,Used,Used,Used,Used
650,25 - 34,Female,University degree,UK,White,34,45,37,43,54,13.63,7,Used,Used,Used,Used
651,45 - 54,Female,Masters degree,UK,White,31,53,59,53,43,7.85,13.21,Used,Used,Used,Used
652,25 - 34,Male,Masters degree,UK,White,42,43,49,47,34,13.63,7,Used,Used,Used,Used
653,18 - 24,Male,Some college or university,Australia,White,46,48,54,39,34,13.63,13.21,Used,Used,Used,Used
654,18 - 24,Male,Some college or university,USA,White,29,44,46,44,42,7.85,13.21,Used,Used,Used, Never Used
655,35 - 44,Female,Left school at 16 years,UK,White,32,46,41,46,49,16.29,8.97,Used,Used,Used, Never Used
656,25 - 34,Male,Masters degree,Other,Other,31,51,43,42,34,11.46,11.19,Used,Used,Used, Never Used
657,45 - 54,Male,Some college or university,Canada ,White,48,36,48,35,33,7.85,13.21,Used,Used,Used,Used
658,45 - 54,Male,Professional certificate/ diploma,UK,White,47,30,55,40,31,5.52,5.46,Used,Used,Used,Used
659,18 - 24,Male,Masters degree,UK,White,42,41,49,41,38,10.34,11.62,Used,Used,Used, Never Used
660,25 - 34,Male,Doctorate degree,Ireland,White,28,49,57,37,39,7.85,13.21,Used,Used,Used,Used
661,25 - 34,Female,Masters degree,UK,Black,24,43,46,50,43,14.64,4.62,Used,Used, Never Used, Never Used
662,18 - 24,Female,University degree,UK,White,33,32,41,42,51,14.64,8.97,Used,Used,Used, Never Used
663,25 - 34,Female,University degree,UK,White,36,41,48,55,53,11.46,7,Used,Used,Used, Never Used
664,25 - 34,Female,Doctorate degree,UK,White,48,31,44,34,31,18.83,11.19,Used,Used,Used, Never Used
665,18 - 24,Male,University degree,UK,White,32,37,50,45,38,11.46,11.19,Used,Used,Used, Never Used
666,25 - 34,Female,Doctorate degree,UK,White,47,37,47,45,40,16.29,11.83,Used,Used,Used,Used
667,18 - 24,Male,Left school at 18 years,UK,White,19,38,47,42,35,10.34,13.21,Used,Used,Used, Never Used
668,35 - 44,Male,Some college or university,UK,White,45,35,54,41,44,18.83,11.62,Used,Used,Used,Used
669,45 - 54,Male,University degree,UK,White,21,53,47,45,39,13.63,11.83,Used,Used,Used, Never Used
670,25 - 34,Male,Some college or university,UK,White,30,46,49,41,41,13.63,11.19,Used,Used,Used,Used
671,18 - 24,Male,Professional certificate/ diploma,UK,White,32,41,43,38,39,1.06,11.19,Used,Used,Used,Used
672,35 - 44,Male,Professional certificate/ diploma,UK,White,31,45,46,39,43,10.34,11.14,Used,Used,Used,Used
673,18 - 24,Male,University degree,UK,White,33,40,55,48,48,11.46,11.83,Used,Used,Used, Never Used
674,18 - 24,Female,Some college or university,UK,White,48,47,49,47,48,16.29,11.62,Used,Used,Used,Used
675,18 - 24,Female,Masters degree,UK,Asian,44,35,42,39,34,16.29,11.19,Used,Used, Never Used, Never Used
676,35 - 44,Male,Professional certificate/ diploma,UK,White,35,38,41,38,36,13.63,11.14,Used,Used,Used,Used
677,18 - 24,Male,Professional certificate/ diploma,UK,White,38,40,34,42,44,10.34,11.19,Used,Used,Used, Never Used
678,25 - 34,Male,University degree,UK,White,41,38,49,39,37,18.83,11.83,Used,Used,Used,Used
679,18 - 24,Male,Some college or university,UK,White,56,24,44,43,26,14.64,4.62, Never Used,Used, Never Used, Never Used
680,18 - 24,Female,Some college or university,UK,White,42,38,42,35,51,16.29,11.14,Used,Used,Used,Used
681,45 - 54,Male,Doctorate degree,UK,White,38,34,45,43,26,16.29,3.77,Used,Used,Used,Used
682,35 - 44,Male,Some college or university,UK,White,24,40,37,39,43,10.34,11.19,Used,Used,Used, Never Used
683,25 - 34,Male,Masters degree,UK,White,49,27,49,45,46,14.64,8.97,Used,Used,Used, Never Used
684,35 - 44,Female,University degree,UK,White,41,39,43,42,37,14.64,11.19,Used,Used,Used,Used
685,35 - 44,Female,Professional certificate/ diploma,UK,White,45,35,54,35,30,7.85,5.46,Used,Used,Used, Never Used
686,25 - 34,Male,University degree,Australia,White,32,41,51,40,36,10.34,13.21,Used,Used,Used,Used
687,18 - 24,Female,Some college or university,Canada ,White,51,46,55,41,35,10.34,11.14,Used,Used,Used, Never Used
688,45 - 54,Female,Left school before 16 years,Australia,White,27,44,39,49,44,14.64,3.77,Used,Used,Used,Used
689,35 - 44,Male,Some college or university,USA,White,46,47,44,35,46,10.34,11.14,Used,Used,Used,Used
690,55 - 64,Female,Masters degree,UK,White,44,35,43,43,41,5.52,13.21,Used,Used,Used, Never Used
691,55 - 64,Male,Some college or university,UK,White,40,35,36,33,41,11.46,11.19,Used,Used, Never Used, Never Used
